Time Stamp,X_Acc,Y_Acc,Z_Acc,X_Orient,Y_Orient,Z_Orient
'21-Oct-2021 12:25:35.153',2.025823,-9.930812,5.236094,50.924514,57.414905,-7.862717
'21-Oct-2021 12:25:35.172',2.123929,-9.739087,6.205786,52.694418,55.1351,-7.647975
'21-Oct-2021 12:25:35.191',1.877468,-9.596714,6.279963,54.437847,52.884826,-7.128348
'21-Oct-2021 12:25:35.210',1.648954,-9.383753,6.093323,56.142492,50.552242,-6.632532
'21-Oct-2021 12:25:35.229',1.680061,-9.006584,6.080163,57.778052,48.138569,-6.247005
'21-Oct-2021 12:25:35.248',1.782952,-8.49781,6.302695,59.364507,45.727143,-5.895539
'21-Oct-2021 12:25:35.267',1.669293,-7.967501,6.380462,60.931004,43.360664,-5.56095
'21-Oct-2021 12:25:35.286',1.430908,-7.487441,6.259624,62.475761,41.009378,-5.252119
'21-Oct-2021 12:25:35.305',1.347159,-7.097112,6.482157,64.012226,38.700026,-4.951484
'21-Oct-2021 12:25:35.324',1.509871,-6.758528,6.601798,65.567473,36.503584,-4.603167
'21-Oct-2021 12:25:35.343',1.448854,-6.457929,6.992127,67.154775,34.41302,-4.12026
'21-Oct-2021 12:25:35.362',1.190429,-6.302396,7.403992,68.793208,32.43275,-3.505957
'21-Oct-2021 12:25:35.381',1.09352,-6.25095,7.687541,70.422823,30.543496,-2.846602
'21-Oct-2021 12:25:35.400',1.147358,-6.171987,7.824231,72.053995,28.716185,-2.235987
'21-Oct-2021 12:25:35.419',1.005883,-5.937191,8.246564,73.722057,26.914811,-1.774848
'21-Oct-2021 12:25:35.438',0.847957,-5.599803,8.428718,75.491226,25.14731,-1.601868
'21-Oct-2021 12:25:35.457',1.165305,-5.298008,8.511271,77.306656,23.372031,-1.720542
'21-Oct-2021 12:25:35.476',1.447658,-5.122136,8.554341,79.107982,21.552211,-1.879627
'21-Oct-2021 12:25:35.495',1.281357,-4.77727,8.301898,80.853341,19.723534,-2.000414
'21-Oct-2021 12:25:35.514',1.122234,-4.236193,7.837391,82.600114,17.896274,-2.201909
