Time Stamp,X_Acc,Y_Acc,Z_Acc,X_Orient,Y_Orient,Z_Orient
'04-Oct-2021 17:47:22.283',-1.38385,-3.356674,9.155426,-129.681332,13.040952,8.964034
'04-Oct-2021 17:47:22.292',-1.288086,-3.304001,9.203308,-130.563847,12.73363,8.941234
'04-Oct-2021 17:47:22.301',-1.120483,-3.28006,9.208099,-131.445023,12.432321,8.909248
'04-Oct-2021 17:47:22.310',-0.952896,-3.203445,9.198517,-132.314766,12.130965,8.867855
'04-Oct-2021 17:47:22.319',-0.8284,-3.165131,9.160217,-133.174783,11.831423,8.812144
'04-Oct-2021 17:47:22.328',-0.804459,-3.10289,9.145844,-134.030359,11.531284,8.735702
'04-Oct-2021 17:47:22.337',-0.785294,-3.055008,9.126694,-134.844627,11.223724,8.628909
'04-Oct-2021 17:47:22.346',-0.823608,-3.007111,9.045288,-135.655958,10.903578,8.497025
'04-Oct-2021 17:47:22.355',-0.885849,-2.954453,9.050079,-136.422824,10.578897,8.354522
'04-Oct-2021 17:47:22.364',-0.919373,-2.901779,9.07402,-137.196343,10.26352,8.21847
'04-Oct-2021 17:47:22.373',-0.905014,-2.844315,9.069229,-137.950943,9.972541,8.102451
'04-Oct-2021 17:47:22.382',-0.895432,-2.758118,9.07402,-138.717959,9.708967,8.014839
'04-Oct-2021 17:47:22.391',-0.861908,-2.643204,9.145844,-139.472804,9.46879,7.954484
'04-Oct-2021 17:47:22.400',-0.914581,-2.585739,9.203308,-140.255271,9.250911,7.910267
'04-Oct-2021 17:47:22.409',-0.943314,-2.513916,9.255981,-141.003381,9.050585,7.869552
'04-Oct-2021 17:47:22.418',-0.943314,-2.456451,9.303864,-141.787323,8.86394,7.817837
'04-Oct-2021 17:47:22.427',-0.90979,-2.45166,9.351746,-142.511733,8.687043,7.742719
'04-Oct-2021 17:47:22.436',-0.885849,-2.446869,9.399643,-143.269474,8.509474,7.633698
'04-Oct-2021 17:47:22.445',-0.847549,-2.47081,9.404419,-143.958545,8.325207,7.494442
'04-Oct-2021 17:47:22.454',-0.833176,-2.489975,9.361328,-144.671644,8.131931,7.338538
'04-Oct-2021 17:47:22.463',-0.785294,-2.437302,9.284714,-145.325348,7.933229,7.177795
'04-Oct-2021 17:47:22.472',-0.756561,-2.336746,9.23204,-146.059811,7.738185,7.01397
'04-Oct-2021 17:47:22.480',-0.689529,-2.236191,9.193741,-146.70786,7.55128,6.842861
'04-Oct-2021 17:47:22.490',-0.608124,-2.154785,9.193741,-147.406971,7.375657,6.668081
'04-Oct-2021 17:47:22.499',-0.502777,-2.035065,9.18895,-148.06368,7.212967,6.49713
'04-Oct-2021 17:47:22.508',-0.445328,-1.982407,9.236832,-148.791231,7.066862,6.329653
'04-Oct-2021 17:47:22.517',-0.445328,-1.891418,9.255981,-149.445304,6.941067,6.152251
'04-Oct-2021 17:47:22.526',-0.464478,-1.853119,9.313446,-150.159004,6.838415,5.95948
'04-Oct-2021 17:47:22.535',-0.478836,-1.829163,9.42836,-150.807558,6.752253,5.756746
